Clock frequency is approx. 2808.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	21545	16089	11900	9087	7211	6809	5441	4875	4312	3867	3334	3017	2683	2695	2414	
64m	21716	16318	12247	9299	7888	7057	6086	5024	4429	4017	3173	2898	2631	2361	2202	
32m	21349	16611	12454	9660	8559	7618	4956	4531	4190	3760	3442	3177	3053	2804	2808	
16m	20960	16880	12721	10351	9092	8312	5731	5307	4996	4756	4441	3843	3403	2703	2524	
8m	15263	15666	13341	12147	11693	11191	11042	10761	9655	9792	9496	8868	8603	8385	7916	
4m	22057	20512	17637	15327	15154	14593	13859	13047	12244	11485	10756	10041	9450	8892	8393	
2m	23408	21120	18140	15773	15192	14618	13852	13050	12214	11432	10740	10062	9427	8879	8397	
1024k	23377	21112	18119	15794	15171	14606	13921	13111	12379	11603	10922	10225	9602	9045	8547	
512k	23420	21358	18616	16231	15834	15361	14956	14359	13888	13334	12840	12304	11809	11362	10832	
256k	23401	21569	18867	16574	16185	15730	15405	14927	14697	14243	13950	13467	13037	12846	12386	
128k	23361	21221	18594	16234	15895	15561	15262	14898	14636	14310	14058	13570	13113	12737	12153	
64k	22840	22646	22314	21845	21435	21254	20980	20108	20323	19743	19843	19289	18924	19050	18256	
32k	22624	22552	21906	21221	20768	20364	20068	19011	18858	18546	20496	19407	18191	17522	17083	
16k	22453	21065	20949	19461	19165	18037	17616	17695	16701	18108	16592	15581	15866	15070	13449	
